Type,SubType,Model,UnitPrice,notes
RLC,R,,0.25,1/4 W
RLC,I,,2,
RLC,C,,1,ceramic
Diode,Diode,1n4148,1,
BJT,NPN,2N3904,2.5,
BJT,PNP,2N3906,2.5,
BJT,NPN,BC107,22.7,
BJT,NPN,BC108,18.5,
BJT,NPN,BC109,25.1,
BJT,NPN,BC547,5,
BJT,NPN,BC548,3.58,
BJT,NPN,2N3903,2.97,
BJT,NPN,2N3904,2.5,
BJT,NPN,BC182,7.29,
BJT,NPN,BC183,4.02,
BJT,NPN,BC184,3.58,
BJT,NPN,2n2222,19,
BJT,NPN,2n2907,38,
BJT,NPN,bc327,10.28,
BJT,NPN,TIP31A,25.3,
BJT,NPN,TIP31C,21.5,
BJT,PNP,BC177,22.7,
BJT,PNP,BC178,18.5,
BJT,PNP,BC179,25.1,
BJT,PNP,BC557,5,
BJT,PNP,BC558,3.58,
BJT,PNP,2N3905,2.97,
BJT,PNP,2N3906,2.5,
BJT,PNP,BC212,7.29,
BJT,PNP,BC213,4.02,
BJT,PNP,BC214,3.58,
BJT,PNP,TIP32A,25.2,
BJT,PNP,TIP32C,21.5,
Diode,Diode,1N4001,1.1,50 V . 1 A
Diode,Diode,1N4002,3.3,100 V . 1 A
Diode,Diode,1N4003,1.3,200 V . 1 A
Diode,Diode,1N4004,2.8,400 V . 1 A
Diode,Diode,1N4005,2.8,600 V . 1 A
Diode,Diode,1N4006,1.1,800 V . 1 A
Diode,Diode,1N4007,1.1,1000 V . 1 A
Diode,Diode,1N5400,2.23,50 V . 3 A
Diode,Diode,1N5401,2.2,100 V . 3 A
Diode,Diode,1N5402,1.76,200 V . 3 A
Diode,Diode,1N5403,3.6,300 V . 3 A
Diode,Diode,1N5404,2.84,400 V . 3 A
Diode,Diode,1N5405,3.69,500 V . 3 A
Diode,Diode,1N5406,2.89,600 V . 3 A
Diode,Diode,1N5407,3.58,800 V . 3 A
Diode,Diode,1N5408,5.3,1000 V . 3 A
